symbol,feature,target,n,ic_train,ci_lo,ci_hi,ic_valid,significant,stable
SPY,dist_from_ath,fwd21_rv,1113,-0.321,-0.495,-0.119,0.047,True,False
SPY,dist_ma200,fwd21_ret,1113,-0.124,-0.322,0.071,-0.31,False,False
SPY,dist_ma200,fwd21_tail,1113,-0.123,-0.246,0.01,0.027,False,False
SPY,dist_ma200,fwd21_rv,1113,-0.342,-0.525,-0.113,0.062,True,False
SPY,dist_ma50,fwd21_ret,1113,-0.16,-0.327,0.021,-0.225,False,False
SPY,dist_ma50,fwd21_tail,1113,-0.05,-0.165,0.067,0.104,False,False
SPY,dist_ma50,fwd21_rv,1113,-0.191,-0.348,-0.012,0.09,True,False
SPY,eqw_capw_vol_ratio_20,fwd21_ret,1113,0.212,0.042,0.367,0.184,True,True
SPY,eqw_capw_vol_ratio_20,fwd21_tail,1113,-0.235,-0.348,-0.118,0.019,True,False
SPY,eqw_capw_vol_ratio_20,fwd21_rv,1113,-0.311,-0.497,-0.121,-0.011,True,False
SPY,expected_move_30d,fwd21_ret,1113,0.152,-0.023,0.34,0.053,False,False
SPY,expected_move_30d,fwd21_tail,1113,0.032,-0.117,0.148,-0.037,False,False
SPY,expected_move_30d,fwd21_rv,1113,0.376,0.13,0.57,0.071,True,True
SPY,hyg_lqd_ret20_diff,fwd21_ret,1113,-0.094,-0.281,0.066,-0.028,False,False
SPY,hyg_lqd_ret20_diff,fwd21_tail,1113,0.042,-0.119,0.193,-0.029,False,False
SPY,hyg_lqd_ret20_diff,fwd21_rv,1113,0.1,-0.104,0.296,-0.171,False,False
SPY,iv_minus_rv20,fwd21_ret,1113,-0.007,-0.185,0.156,-0.035,False,False
SPY,iv_minus_rv20,fwd21_tail,1113,-0.139,-0.245,-0.026,0.012,True,False
SPY,iv_minus_rv20,fwd21_rv,1113,-0.165,-0.328,-0.007,0.014,True,False
SPY,iwm_spy_ret20_diff,fwd21_ret,1113,0.154,-0.012,0.3,-0.054,False,False
SPY,iwm_spy_ret20_diff,fwd21_tail,1113,-0.138,-0.258,-0.009,-0.044,True,True
SPY,iwm_spy_ret20_diff,fwd21_rv,1113,-0.146,-0.323,-0.005,0.113,True,False
SPY,ma50_slope_20d,fwd21_ret,1113,-0.13,-0.358,0.064,-0.176,False,False
SPY,ma50_slope_20d,fwd21_tail,1113,-0.041,-0.187,0.115,0.02,False,False
SPY,ma50_slope_20d,fwd21_rv,1113,-0.18,-0.387,0.082,0.118,False,False
SPY,pc1_loading_dispersion,fwd21_ret,1113,-0.358,-0.509,-0.2,-0.058,True,True
SPY,pc1_loading_dispersion,fwd21_tail,1113,0.237,0.088,0.366,-0.065,True,False
SPY,pc1_loading_dispersion,fwd21_rv,1113,0.016,-0.212,0.273,-0.012,False,False
SPY,qqq_spy_ret20_diff,fwd21_ret,1113,0.042,-0.168,0.226,0.009,False,False
SPY,qqq_spy_ret20_diff,fwd21_tail,1113,-0.05,-0.205,0.103,0.178,False,False
SPY,qqq_spy_ret20_diff,fwd21_rv,1113,-0.046,-0.265,0.184,0.047,False,False
SPY,rate_3m_chg_20d,fwd21_ret,1113,-0.174,-0.307,0.005,-0.08,False,False
SPY,rate_3m_chg_20d,fwd21_tail,1113,0.197,0.098,0.284,0.097,True,True
SPY,rate_3m_chg_20d,fwd21_rv,1113,0.274,0.051,0.463,0.04,True,True
SPY,rate_3m_level,fwd21_ret,1113,-0.082,-0.25,0.087,0.173,False,False
